Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
49 Pales (A857 SB),49 ప్యాలెస్,A857 SB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Massachusetts ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,3.097,0.2214,3.2,285.06,113.06,23.57,166.252,7.86,0.048,CG,Ch,1990,5.45,16.93,3.78,2.41,20.71,"water, iron, nickel, cobalt, nitrogen, and ammonia."
357 Ninina (A893 CB),357 నినిన,A893 CB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,3.152,0.0771,15.06,137.64,255.49,99.56,124.107,8.86,0.037,CX,,2040,5.59,16.81,3.4,2.91,36.01,
241 Germania (A884 RA),241 జెర్మనియా,A884 RA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Massachusetts ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,3.047,0.1036,5.51,270.34,80.52,250.53,168.9,7.77,0.0575,CP,B,1940,5.32,17.09,3.36,2.73,15.51,"hydrogen, nitrogen, ammonia, and iron."
405 Thia (A895 OB),405 థియా,A895 OB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.584,0.2434,11.94,255.2,308.76,193.4,108.894,8.56,0.018,C,Ch,1520,4.16,18.49,3.21,1.96,9.95,"water, iron, nickel, cobalt, nitrogen, and ammonia."
88 Thisbe (A866 LA),88 తిస్బెయ్,A866 LA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.77,0.1618,5.21,276.45,36.45,219.06,232,7.27,0.0671,CF,B,1680,4.6,17.94,3.22,2.32,6.04,"hydrogen, nitrogen, ammonia, and iron."
426 Hippo (A897 RA),426 హిప్పో,A897 RA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.887,0.1058,19.5,311.32,221.95,248.71,137.562,8.65,0.04,F,,1790,4.9,17.55,3.19,2.58,34.3,"water, iron, nickel, cobalt, nitrogen, and ammonia."
20 Massalia (A852 SA),20 మసలియా,A852 SA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.408,0.1429,0.71,205.99,257.56,326.71,135.68,6.56,0.241,S,S,1370,3.75,19.12,2.75,2.06,8.1,
11 Parthenope (A850 JA),11 పార్థేనొప్,A850 JA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.453,0.0997,4.63,125.53,195.51,123.19,142.887,6.58,0.191,S,Sk,1400,3.84,19.06,2.7,2.21,13.72,
14 Irene (A851 KA),14 ఐరీన్,A851 KA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of New Jersey ,కేరళ రాష్ట్రం అంత ,0,0,2459396.5,2.587,0.1661,9.12,86.12,97.74,353.66,152,6.53,0.159,S,S,1520,4.16,18.52,3.02,2.16,15.03,
86 Semele (A866 AA),86 సెమెలే,A866 AA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,3.107,0.2155,4.82,86.09,308.87,135.14,109.929,8.75,0.056,C,,2000,5.48,16.9,3.78,2.44,16.63,"water, iron, nickel, cobalt, nitrogen, and ammonia."
663 Gerlinde (A908 MB),663 గేర్లిందే,A908 MB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,3.072,0.1455,17.81,232.8,311.82,104.37,107.795,9.22,0.031,X,,1970,5.4,16.96,3.52,2.63,10.25,
58 Concordia (A860 FA),58 కాంకోర్డియా,A860 FA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.702,0.0429,5.07,161.07,32.67,113.44,106.517,9.04,0.044,C,Ch,1620,4.44,18.15,2.82,2.59,9.9,"water, iron, nickel, cobalt, nitrogen, and ammonia."
505 Cava (A902 QA),505 కేవా,A902 QA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.688,0.2437,9.83,90.86,336.87,262.42,115,8.84,0.04,FC,,1610,4.41,18.16,3.34,2.03,8.18,
129 Antigone (A873 CA),129 ఆంటిగొనఁ,A873 CA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.868,0.2129,12.27,135.66,110.92,101.63,113,7.07,0.151,M,X,1770,4.85,17.63,3.48,2.26,4.96,"iron, nickel, and cobalt."
22 Kalliope (A852 WA),22 కాలియొప్,A852 WA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Massachusetts ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.909,0.0982,13.7,66,357.54,353.03,167.536,6.51,0.166,M,X,1810,4.96,17.48,3.19,2.62,4.15,"iron, nickel, and cobalt."
95 Arethusa (A867 WA),95 ఆరేతుస్స,A867 WA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,3.063,0.1531,13,243.02,153.71,220.61,147.969,8.05,0.058,C,Ch,1960,5.37,17,3.53,2.59,8.71,"water, iron, nickel, cobalt, nitrogen, and ammonia."
106 Dione (A868 TA),106 డీన్,A868 TA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,3.179,0.1592,4.58,62,331.25,1.88,207.869,7.61,0.044,G,Cgh,2070,5.67,16.71,3.69,2.67,16.21,"water, iron, nickel, cobalt, nitrogen, and ammonia."
36 Atalante (A855 TA),36 అతలంటే,A855 TA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.747,0.3053,18.37,358.2,47.79,112.03,132.842,8.62,0.029,C,,1660,4.55,18,3.59,1.91,9.93,"water, iron, nickel, cobalt, nitrogen, and ammonia."
776 Berbericia (A914 BE),776 బెర్బెరీష,A914 BE,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of New Jersey ,కేరళ రాష్ట్రం అంత ,0,0,2459396.5,2.929,0.1657,18.24,79.71,306.79,228.87,151.711,7.73,0.065,C,Cgh,1830,5.01,17.41,3.41,2.44,7.67,"water, iron, nickel, cobalt, nitrogen, and ammonia."
386 Siegena (A894 EB),386 సిగేనా,A894 EB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Massachusetts ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.898,0.1689,20.22,166.64,220.72,64.36,165.01,7.7,0.0692,C,C,1800,4.93,17.52,3.39,2.41,9.76,"water, iron, nickel, cobalt, nitrogen, and ammonia."
68 Leto (A861 HB),68 లెటో,A861 HB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.782,0.185,7.96,44.08,304.53,70.58,122.509,6.99,0.228,S,,1700,4.66,17.8,3.3,2.27,14.85,
171 Ophelia (A877 AB),171 ఒఫీలియా,A877 AB,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,3.131,0.132,2.55,100.48,55.78,331.9,130.808,8.61,0.076,C,C,2020,5.53,16.86,3.54,2.72,6.67,"water, iron, nickel, cobalt, nitrogen, and ammonia."
344 Desiderata (A892 WA),344 డెసిదేరతా,A892 WA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.597,0.3139,18.35,48.02,237.62,3.93,124.181,8.34,0.067,C,,1530,4.19,18.47,3.41,1.78,10.75,"water, iron, nickel, cobalt, nitrogen, and ammonia."
144 Vibilia (A875 LA),144 విబిలియా,A875 LA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.655,0.2351,4.81,76.18,294.62,188.67,142.38,8.12,0.0597,C,Ch,1580,4.33,18.28,3.28,2.03,13.82,"water, iron, nickel, cobalt, nitrogen, and ammonia."
804 Hispania (A915 FK),804 హిస్పానియా,A915 FK,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.837,0.1409,15.4,347.59,344.76,287.64,137.952,7.93,0.054,PC,C,1750,4.79,17.64,3.24,2.44,14.85,"water, iron, nickel, cobalt, nitrogen, and ammonia."
7 Iris (A847 PA),7 ఐరిస్,A847 PA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.386,0.2294,5.52,259.53,145.31,353.13,199.83,5.6,0.2766,S,S,1350,3.7,19.23,2.93,1.84,7.14,
517 Edith (A903 SK),517 ఎడిత్,A903 SK,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,3.154,0.1792,3.23,273.82,143.51,356.22,111.89,9.58,0.026,X,,2050,5.62,16.74,3.72,2.59,9.27,
303 Josephina (A891 CA),303 జోసెఫైనా,A891 CA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,3.123,0.0568,6.89,343.64,66.68,315.22,124.923,8.96,0.034,,,2020,5.53,16.82,3.3,2.95,12.5,
154 Bertha (A875 VD),154 బెర్తా,A875 VD,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Maryland ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,3.196,0.0767,20.97,36.72,160.85,73.68,192.611,7.71,0.044,,C,2090,5.73,16.64,3.44,2.95,25.22,"water, iron, nickel, cobalt, nitrogen, and ammonia."
164 Eva (A876 NA),164 ఇవ,A876 NA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Delaware ,హైదరాబాద్ నగరానికి పది రెట్లు ,0,0,2459396.5,2.631,0.3471,24.48,76.81,284.05,274.05,100.254,8.83,0.029,CX,X,1560,4.27,18.35,3.54,1.72,13.66,"iron, nickel, and cobalt."
4 Vesta (A807 FA),4 వేస్తా,A807 FA,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",Great Britain ,తెలంగాణ రాష్ట్రానికి రెండు రెట్లు ,0,0,2459396.5,2.362,0.0884,7.14,103.81,151.02,311.69,525.4,3.31,0.4228,V,V,1330,3.64,19.32,2.57,2.15,5.34,
772 Tanete (A913 YD),772 తానెట్,A913 YD,Main-belt Asteroid,Main-belt Asteroid,"ఆస్టెరాయిడ్ పట్టీ మధ్య భాగం లో ఉండే గ్రహశకలం. ఈ పట్టీ అంగారకుడు, బృహస్పతి గ్రహాల మధ్య ఉండే కొన్ని కోట్ల గ్రహశకలాలతో నిండి ఉంటుంది. సౌర మండలం లో వేరే కొన్ని చోట్ల కూడా ఇలాంటి చిన్న చిన్న గ్రహశకల సమూహాలు ఉండటం వల్ల దీనిని ప్రధాన పట్టీ (మెయిన్ బెల్ట్) అని కూడా అంటారు.",US state of Connecticut ,హైదరాబాద్ నగరం అంత ,0,0,2459396.5,2.999,0.0941,28.83,63.74,146.09,144.34,126.473,8.43,0.028,C,,1900,5.21,17.17,3.28,2.72,17.26,"water, iron, nickel, cobalt, nitrogen, and ammonia."
