Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
1915 Quetzalcoatl (1953 EA),1915 క్యూటీజల్కయల్,1953 EA,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,0,2459396.5,2.544,0.5707,20.4,162.94,347.82,351.83,0.5,18.97,0.21,SMU,,1480,4.05,18.7,4,1.09,4.9,
2008 TD2,2008 TD2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.53,0.3344,4.02,16,315.98,287.48,0.196,21.93,,,,691,1.89,24.09,2.04,1.02,,
2011 TN9,2011 TN9,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.899,0.4512,4.1,199.16,163.09,261.69,0.189,21.3,,,,956,2.62,21.61,2.76,1.04,,
2020 LG2,2020 LG2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.877,0.446,14.16,273.07,7.76,141.1,0.137,22,,,,939,2.57,21.75,2.71,1.04,,
2015 UR51,2015 UR51,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.763,0.4229,19.35,221.82,176.86,156.25,0.285,20.4,,,,855,2.34,22.43,2.51,1.02,,
2005 EW169,2005 EW169,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.382,0.5689,1.51,223.57,221.85,190.26,0.394,19.7,,,,1340,3.67,19.34,3.74,1.03,,
2061 Anza (1960 UA),2061 అంజ,1960 UA,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,0,2459396.5,2.264,0.536,3.8,207.38,157.03,295.12,2.6,16.36,,TCG:,,1240,3.4,19.86,3.48,1.05,6.71,
528159 (2008 HS3),528159,2008 HS3,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.35,0.2254,8.17,227.71,5.01,129.86,0.233,21.55,,,,573,1.57,25.63,1.65,1.05,10.68,
2014 SV141,2014 SV141,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller ,బస్సు అంత ,1,1,2459396.5,2.131,0.5225,7.8,158.59,141.7,79.94,0.172,21.6,0.137,,,1140,3.12,20.34,3.24,1.02,,
2009 CC3,2009 CC3,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.2,0.5373,11.37,194.92,15.41,270.04,0.519,19.1,,,,1190,3.26,20.11,3.38,1.02,,
2016 NO16,2016 NO16,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.458,0.5742,27.01,151.41,182.33,83.91,0.411,19.61,,,,1410,3.86,18.97,3.87,1.05,,
